gene_symbol	ensembl_id	refinebio_organism	gene_name
SLC51A	ENSG00000163959	Homo sapiens	solute carrier family 51 member A(SLC51A)
SLCO4A1	ENSG00000101187	Homo sapiens	solute carrier organic anion transporter family member 4A1(SLCO4A1)
SNRPA1	ENSG00000131876	Homo sapiens	small nuclear ribonucleoprotein polypeptide A'(SNRPA1)
SNRPN	ENSG00000128739	Homo sapiens	small nuclear ribonucleoprotein polypeptide N(SNRPN)
SRPK2	ENSG00000135250	Homo sapiens	SRSF protein kinase 2(SRPK2)
SULF2	ENSG00000196562	Homo sapiens	sulfatase 2(SULF2)
SYK	ENSG00000165025	Homo sapiens	spleen associated tyrosine kinase(SYK)
TARP	ENSG00000289746	Homo sapiens	TCR gamma alternate reading frame protein(TARP)
TBC1D7	ENSG00000145979	Homo sapiens	TBC1 domain family member 7(TBC1D7)
TIAM1	ENSG00000156299	Homo sapiens	TIAM Rac1 associated GEF 1(TIAM1)
TIGIT	ENSG00000181847	Homo sapiens	T cell immunoreceptor with Ig and ITIM domains(TIGIT)
TMX4	ENSG00000125827	Homo sapiens	thioredoxin related transmembrane protein 4(TMX4)
TNFSF8	ENSG00000106952	Homo sapiens	TNF superfamily member 8(TNFSF8)
TOP2A	ENSG00000131747	Homo sapiens	DNA topoisomerase II alpha(TOP2A)
TSPAN14	ENSG00000108219	Homo sapiens	tetraspanin 14(TSPAN14)
TTYH2	ENSG00000141540	Homo sapiens	tweety family member 2(TTYH2)
UNK	ENSG00000132478	Homo sapiens	unk zinc finger(UNK)
UPB1	ENSG00000100024	Homo sapiens	beta-ureidopropionase 1(UPB1)
YES1	ENSG00000176105	Homo sapiens	YES proto-oncogene 1, Src family tyrosine kinase(YES1)
ZDHHC19	ENSG00000163958	Homo sapiens	zinc finger DHHC-type palmitoyltransferase 19(ZDHHC19)
ZMYND11	ENSG00000015171	Homo sapiens	zinc finger MYND-type containing 11(ZMYND11)
ZNF33A	ENSG00000189180	Homo sapiens	zinc finger protein 33A(ZNF33A)
ZNF823	ENSG00000197933	Homo sapiens	zinc finger protein 823(ZNF823)
ZNF831	ENSG00000124203	Homo sapiens	zinc finger protein 831(ZNF831)
